PassengerId,Cabin,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck
0001_01,B/0/P,False,0.0,0.0,0.0,0.0,0.0
0002_01,F/0/S,False,109.0,9.0,25.0,549.0,44.0
0003_01,A/0/S,True,43.0,3576.0,0.0,6715.0,49.0
0003_02,A/0/S,False,0.0,1283.0,371.0,3329.0,193.0
0004_01,F/1/S,False,303.0,70.0,151.0,565.0,2.0
0005_01,F/0/P,False,0.0,483.0,0.0,291.0,0.0
0006_01,F/2/S,False,42.0,1539.0,3.0,0.0,0.0
0006_02,G/0/S,False,0.0,0.0,0.0,0.0,
0007_01,F/3/S,False,0.0,785.0,17.0,216.0,0.0
0008_01,B/1/P,False,0.0,0.0,0.0,0.0,0.0
0008_02,B/1/P,False,0.0,0.0,,0.0,0.0
0008_03,B/1/P,False,39.0,7295.0,589.0,110.0,124.0
0009_01,F/1/P,False,73.0,0.0,1123.0,0.0,113.0
0010_01,G/1/S,False,719.0,1.0,65.0,0.0,24.0
0011_01,F/2/P,False,8.0,974.0,12.0,2.0,7.0
0012_01,,False,32.0,0.0,876.0,0.0,0.0
0014_01,F/3/P,False,1286.0,122.0,,0.0,0.0
0015_01,F/4/P,False,0.0,1.0,0.0,0.0,637.0
0016_01,F/5/P,False,0.0,0.0,0.0,0.0,0.0
0017_01,G/0/P,False,0.0,0.0,0.0,0.0,0.0
0017_02,F/6/P,False,412.0,0.0,1.0,0.0,679.0
0020_01,E/0/S,False,0.0,0.0,0.0,0.0,0.0
0020_02,E/0/S,False,0.0,0.0,0.0,0.0,0.0
0020_03,E/0/S,False,0.0,0.0,,0.0,0.0
0020_04,E/0/S,False,0.0,0.0,0.0,0.0,0.0
0020_05,E/0/S,False,,0.0,0.0,0.0,0.0
0020_06,E/0/S,False,0.0,0.0,0.0,0.0,0.0
0022_01,D/0/P,False,980.0,2.0,69.0,0.0,0.0
0024_01,C/2/S,False,0.0,0.0,,0.0,0.0
0025_01,F/6/S,False,0.0,225.0,0.0,998.0,0.0
0026_01,C/0/P,False,22.0,6073.0,0.0,1438.0,328.0
0028_01,F/8/P,False,1125.0,0.0,136.0,48.0,0.0
0030_01,G/4/S,False,0.0,850.0,81.0,437.0,453.0
0031_01,F/9/P,False,214.0,0.0,1411.0,0.0,1229.0
0031_02,F/9/P,False,0.0,0.0,0.0,0.0,0.0
0031_03,F/9/P,False,,0.0,1750.0,990.0,0.0
0034_01,D/1/S,False,0.0,0.0,0.0,0.0,0.0
0035_01,D/1/P,False,784.0,964.0,0.0,951.0,0.0
0036_01,F/8/S,True,0.0,492.0,48.0,20.0,401.0
0038_01,F/10/S,False,554.0,195.0,0.0,2606.0,0.0
0039_01,G/1/P,False,0.0,0.0,,0.0,0.0
0041_01,G/2/P,False,0.0,0.0,0.0,0.0,0.0
0043_01,B/3/P,False,0.0,164.0,45.0,2511.0,855.0
0044_01,G/3/P,False,0.0,0.0,0.0,0.0,0.0
0044_02,G/3/P,False,0.0,0.0,0.0,0.0,0.0
0044_03,G/3/P,False,0.0,0.0,0.0,0.0,0.0
0045_01,F/10/P,False,970.0,0.0,180.0,0.0,64.0
0045_02,F/10/P,False,0.0,0.0,0.0,0.0,0.0
0050_01,E/1/S,False,790.0,0.0,0.0,,0.0
0051_01,E/2/S,False,0.0,112.0,0.0,1379.0,127.0
0052_01,G/6/S,False,4.0,0.0,2.0,4683.0,0.0
0053_01,F/11/S,False,0.0,0.0,1938.0,0.0,1.0
0056_01,A/1/S,False,0.0,0.0,0.0,0.0,0.0
0056_02,A/1/S,False,0.0,0.0,0.0,0.0,0.0
0056_03,A/1/S,False,279.0,605.0,3374.0,286.0,3.0
0058_01,G/7/S,False,0.0,0.0,0.0,0.0,0.0
0061_01,F/12/S,False,45.0,1096.0,148.0,1377.0,1.0
0062_01,F/13/S,False,0.0,592.0,0.0,17.0,25.0
0064_01,F/14/S,False,0.0,0.0,0.0,0.0,0.0
0064_02,E/3/S,False,0.0,0.0,,0.0,0.0
0066_01,G/6/P,False,1.0,153.0,197.0,0.0,460.0
0067_01,G/10/S,False,0.0,0.0,0.0,0.0,0.0
0067_02,G/10/S,False,1.0,258.0,446.0,0.0,0.0
0067_03,F/15/S,False,1946.0,37.0,0.0,0.0,24.0
0068_01,E/4/S,False,793.0,0.0,2.0,253.0,0.0
0069_01,F/16/S,False,887.0,0.0,9.0,6.0,0.0
0070_01,F/13/P,False,190.0,0.0,5.0,1.0,726.0
0071_01,F/14/P,False,16.0,2165.0,0.0,0.0,52.0
0072_01,F/17/S,False,0.0,1.0,0.0,0.0,1063.0
0073_01,D/3/P,False,46.0,83.0,738.0,0.0,12.0
0074_01,C/3/S,False,1.0,8397.0,0.0,0.0,506.0
