PassengerId,HomePlanet,Destination,CryoSleep
0001_01,Europa,TRAPPIST-1e,False
0002_01,Earth,TRAPPIST-1e,False
0003_01,Europa,TRAPPIST-1e,False
0003_02,Europa,TRAPPIST-1e,False
0004_01,Earth,TRAPPIST-1e,False
0005_01,Earth,PSO J318.5-22,False
0006_01,Earth,TRAPPIST-1e,False
0006_02,Earth,TRAPPIST-1e,True
0007_01,Earth,TRAPPIST-1e,False
0008_01,Europa,55 Cancri e,True
0008_02,Europa,TRAPPIST-1e,True
0008_03,Europa,55 Cancri e,False
0009_01,Mars,TRAPPIST-1e,False
0010_01,Earth,TRAPPIST-1e,False
0011_01,Earth,TRAPPIST-1e,False
0012_01,Earth,TRAPPIST-1e,False
0014_01,Mars,55 Cancri e,False
0015_01,Earth,55 Cancri e,False
0016_01,Mars,TRAPPIST-1e,True
0017_01,Earth,TRAPPIST-1e,False
0017_02,Earth,55 Cancri e,False
0020_01,Earth,TRAPPIST-1e,True
0020_02,Earth,55 Cancri e,True
0020_03,Earth,55 Cancri e,True
0020_04,Earth,TRAPPIST-1e,False
0020_05,Earth,PSO J318.5-22,True
0020_06,Earth,TRAPPIST-1e,False
0022_01,Mars,TRAPPIST-1e,False
0024_01,Europa,TRAPPIST-1e,True
0025_01,Earth,TRAPPIST-1e,False
0026_01,Europa,55 Cancri e,False
0028_01,Mars,TRAPPIST-1e,False
0030_01,Earth,TRAPPIST-1e,False
0031_01,Mars,TRAPPIST-1e,False
0031_02,Mars,TRAPPIST-1e,False
0031_03,Mars,TRAPPIST-1e,False
0034_01,Europa,55 Cancri e,True
0035_01,Mars,55 Cancri e,False
0036_01,Earth,55 Cancri e,False
0038_01,Earth,55 Cancri e,False
0039_01,Earth,55 Cancri e,True
0041_01,Earth,TRAPPIST-1e,True
0043_01,Europa,TRAPPIST-1e,False
0044_01,Earth,TRAPPIST-1e,True
0044_02,Earth,55 Cancri e,True
0044_03,Earth,PSO J318.5-22,True
0045_01,Mars,TRAPPIST-1e,False
0045_02,Mars,,True
0050_01,Earth,55 Cancri e,False
0051_01,Earth,TRAPPIST-1e,False
0052_01,Earth,TRAPPIST-1e,False
0053_01,Earth,TRAPPIST-1e,False
0056_01,Europa,TRAPPIST-1e,False
0056_02,Europa,TRAPPIST-1e,True
0056_03,Europa,TRAPPIST-1e,False
0058_01,Earth,PSO J318.5-22,True
0061_01,Earth,TRAPPIST-1e,False
0062_01,Earth,TRAPPIST-1e,False
0064_01,Mars,TRAPPIST-1e,True
0064_02,,TRAPPIST-1e,True
0066_01,Earth,TRAPPIST-1e,False
0067_01,Earth,PSO J318.5-22,True
0067_02,Earth,TRAPPIST-1e,False
0067_03,Earth,55 Cancri e,False
0068_01,Mars,TRAPPIST-1e,False
0069_01,Earth,TRAPPIST-1e,False
0070_01,Earth,TRAPPIST-1e,False
0071_01,Earth,TRAPPIST-1e,False
0072_01,Earth,TRAPPIST-1e,False
0073_01,Mars,PSO J318.5-22,False
0074_01,Europa,TRAPPIST-1e,False
0076_01,Mars,TRAPPIST-1e,False
0077_01,Mars,TRAPPIST-1e,False
0078_01,Europa,TRAPPIST-1e,False
0081_01,Earth,TRAPPIST-1e,True
0082_01,Mars,TRAPPIST-1e,False
0082_02,Mars,TRAPPIST-1e,True
0082_03,Mars,TRAPPIST-1e,False
0084_01,Earth,TRAPPIST-1e,False
0085_01,Europa,TRAPPIST-1e,True
0086_01,Earth,TRAPPIST-1e,False
0088_01,Mars,PSO J318.5-22,True
0090_01,Earth,TRAPPIST-1e,True
0091_01,Earth,TRAPPIST-1e,True
0091_02,Earth,TRAPPIST-1e,False
0092_01,Earth,TRAPPIST-1e,False
0092_02,Earth,TRAPPIST-1e,True
0092_03,Earth,TRAPPIST-1e,True
0097_01,Europa,TRAPPIST-1e,False
0098_01,Earth,TRAPPIST-1e,False
0098_02,Earth,TRAPPIST-1e,False
0099_01,Earth,PSO J318.5-22,False
0099_02,Earth,TRAPPIST-1e,True
0101_01,Mars,TRAPPIST-1e,True
0102_01,Earth,TRAPPIST-1e,False
0103_01,Earth,TRAPPIST-1e,False
0103_02,Earth,55 Cancri e,True
0103_03,Earth,TRAPPIST-1e,True
0105_01,Earth,TRAPPIST-1e,True
0107_01,Mars,TRAPPIST-1e,False
0108_01,Earth,TRAPPIST-1e,True
0108_02,Earth,TRAPPIST-1e,False
0108_03,Earth,TRAPPIST-1e,False
0110_01,Europa,TRAPPIST-1e,False
0110_02,Europa,TRAPPIST-1e,True
0110_03,Europa,TRAPPIST-1e,False
0110_04,Europa,TRAPPIST-1e,True
0111_01,Europa,TRAPPIST-1e,True
0112_01,Europa,55 Cancri e,False
0113_01,Earth,TRAPPIST-1e,False
0114_01,Earth,TRAPPIST-1e,False
0115_01,Mars,TRAPPIST-1e,True
0116_01,Europa,TRAPPIST-1e,False
0119_01,,TRAPPIST-1e,False
0119_02,Europa,TRAPPIST-1e,True
0120_01,Mars,TRAPPIST-1e,True
0122_01,Earth,TRAPPIST-1e,False
0123_01,Earth,TRAPPIST-1e,False
0126_01,Mars,TRAPPIST-1e,True
0127_01,Mars,TRAPPIST-1e,False
0128_01,Mars,TRAPPIST-1e,False
0128_02,Mars,TRAPPIST-1e,False
0129_01,Earth,PSO J318.5-22,True
0133_01,Mars,TRAPPIST-1e,True
0133_02,Mars,TRAPPIST-1e,False
0134_01,Earth,TRAPPIST-1e,False
0136_01,Earth,PSO J318.5-22,False
0138_01,Earth,TRAPPIST-1e,True
0138_02,Earth,,False
0139_01,Europa,55 Cancri e,True
0140_01,Earth,TRAPPIST-1e,True
0140_02,Earth,TRAPPIST-1e,False
0141_01,Mars,TRAPPIST-1e,False
0144_01,Earth,TRAPPIST-1e,False
0146_01,Earth,TRAPPIST-1e,False
