HomePlanet,CryoSleep,Deck,RoomNum,Side,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported
Europa,False,B,0,P,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,False
Earth,False,F,0,S,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,True
Europa,False,A,0,S,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,False
Europa,False,A,0,S,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,False
Earth,False,F,1,S,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,True
Earth,False,F,0,P,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,True
Earth,False,F,2,S,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,True
Earth,False,F,3,S,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,True
Europa,True,B,1,P,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,True
Europa,False,B,1,P,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,True
Mars,False,F,1,P,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,True
Earth,False,G,1,S,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,False
Earth,False,F,2,P,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,True
Earth,False,F,4,P,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,False
Mars,True,F,5,P,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,G,0,P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,F,6,P,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,False
Earth,True,E,0,S,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,False
Earth,True,E,0,S,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,False
Earth,False,E,0,S,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,True
Earth,False,E,0,S,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,False
Mars,False,D,0,P,TRAPPIST-1e,21.0,False,980.0,2.0,69.0,0.0,0.0,False
Earth,False,F,6,S,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,998.0,0.0,False
Europa,False,C,0,P,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,False
Mars,False,F,8,P,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,False
Earth,False,G,4,S,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,False
Mars,False,F,9,P,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,True
Mars,False,F,9,P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True
Europa,True,D,1,S,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,True
Mars,False,D,1,P,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,False
Earth,False,F,10,S,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,False
Earth,True,G,2,P,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,True
Europa,False,B,3,P,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,False
Earth,True,G,3,P,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,False
